"date","r_f_t"
"1995m3","0.0046"
"1995m4","0.0044"
"1995m5","0.0054"
"1995m6","0.0047"
"1995m7","0.0045"
"1995m8","0.0047"
"1995m9","0.0043"
"1995m10","0.0047"
"1995m11","0.0042"
"1995m12","0.0049"
"1996m1","0.0043"
"1996m2","0.0039"
"1996m3","0.0039"
"1996m4","0.0046"
"1996m5","0.0042"
"1996m6","0.004"
"1996m7","0.0045"
"1996m8","0.0041"
"1996m9","0.0044"
"1996m10","0.0042"
"1996m11","0.0041"
"1996m12","0.0046"
"1997m1","0.0045"
"1997m2","0.0039"
"1997m3","0.0043"
"1997m4","0.0043"
"1997m5","0.0049"
"1997m6","0.0037"
"1997m7","0.0043"
"1997m8","0.0041"
"1997m9","0.0044"
"1997m10","0.0042"
"1997m11","0.0039"
"1997m12","0.0048"
"1998m1","0.0043"
"1998m2","0.0039"
"1998m3","0.0039"
"1998m4","0.0043"
"1998m5","0.004"
"1998m6","0.0041"
"1998m7","0.004"
"1998m8","0.0043"
"1998m9","0.0046"
"1998m10","0.0032"
"1998m11","0.0031"
"1998m12","0.0038"
"1999m1","0.0035"
"1999m2","0.0035"
"1999m3","0.0043"
"1999m4","0.0037"
"1999m5","0.0034"
"1999m6","0.004"
"1999m7","0.0038"
"1999m8","0.0039"
"1999m9","0.0039"
"1999m10","0.0039"
"1999m11","0.0036"
"1999m12","0.0044"
"2000m1","0.0041"
"2000m2","0.0043"
"2000m3","0.0047"
"2000m4","0.0046"
"2000m5","0.005"
"2000m6","0.004"
"2000m7","0.0048"
"2000m8","0.005"
"2000m9","0.0051"
"2000m10","0.0056"
"2000m11","0.0051"
"2000m12","0.005"
"2001m1","0.0054"
"2001m2","0.0038"
"2001m3","0.0042"
"2001m4","0.0039"
"2001m5","0.0032"
"2001m6","0.0028"
"2001m7","0.003"
"2001m8","0.0031"
"2001m9","0.0028"
"2001m10","0.0022"
"2001m11","0.0017"
"2001m12","0.0015"
"2002m1","0.0014"
"2002m2","0.0013"
"2002m3","0.0013"
"2002m4","0.0015"
"2002m5","0.0014"
"2002m6","0.0013"
"2002m7","0.0015"
"2002m8","0.0014"
"2002m9","0.0014"
"2002m10","0.0014"
"2002m11","0.0012"
"2002m12","0.0011"
"2003m1","0.001"
"2003m2","0.0009"
"2003m3","0.001"
"2003m4","0.001"
"2003m5","0.0009"
"2003m6","0.001"
"2003m7","0.0007"
"2003m8","0.0007"
"2003m9","0.0008"
"2003m10","0.0007"
"2003m11","0.0007"
"2003m12","0.0008"
"2004m1","0.0007"
"2004m2","0.0006"
"2004m3","0.0009"
"2004m4","0.0008"
"2004m5","0.0006"
"2004m6","0.0008"
"2004m7","0.001"
"2004m8","0.0011"
"2004m9","0.0011"
"2004m10","0.0011"
"2004m11","0.0015"
"2004m12","0.0016"
"2005m1","0.0016"
"2005m2","0.0016"
"2005m3","0.0021"
"2005m4","0.0021"
"2005m5","0.0024"
"2005m6","0.0023"
"2005m7","0.0024"
"2005m8","0.003"
"2005m9","0.0029"
"2005m10","0.0027"
"2005m11","0.0031"
"2005m12","0.0032"
"2006m1","0.0035"
"2006m2","0.0034"
"2006m3","0.0037"
"2006m4","0.0036"
"2006m5","0.0043"
"2006m6","0.004"
"2006m7","0.004"
"2006m8","0.0042"
"2006m9","0.0041"
"2006m10","0.0041"
