"date","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"'1978m8'","0.833088534","1.198738967","0.874395982","1.047568094","1.102068932","1.101176888","0.883420996","0.542876348","0.559804033","1.165849724","-0.314628435","-0.065281533","-0.20335317","-0.03822806","-0.080798993","0.110277831","-0.34274171","-0.226962235","-0.265565234","-0.003198591","-0.301361502","-0.12774482","0.024856613","-0.524646998","0.018891545","-0.658185346","-0.299851467","0.047705563","0.465267761","0.144829155","0.030490699","-0.090535946","0.117494358","-0.40200613","-0.049045654","-0.278831008","-0.042489293","-0.01085023","0.100460856","-0.144517335"
"'1978m9'","0.824851682","1.19856103","0.879014483","1.047090344","1.102068967","1.101470793","0.868123439","0.547669539","0.559862618","1.163023255","-0.314895712","-0.065417129","-0.195418166","-0.038374824","-0.080798977","0.110277812","-0.344895224","-0.195166739","-0.2627956","-0.016063098","-0.339772245","-0.074545681","0.181315069","-0.547272116","-0.001170631","-0.658185378","-0.338969075","0.061348966","0.435698001","0.096575319","0.08768535","-0.09053597","-0.133514738","-0.374559757","-0.049045558","-0.176171096","0.076947325","-0.144631255","0.100461143","-0.075471428"
"'1978m10'","0.843149912","1.188403252","0.882410693","1.049041173","1.102068736","1.028324827","0.908963849","0.555979658","0.561997065","1.159162553","-0.314525912","-0.068267151","-0.189185128","-0.037665284","-0.080799181","0.110277713","-0.342420293","-0.172267783","-0.179077575","-0.041014978","-0.336120779","-0.024697926","0.176135076","-0.552918329","0.008165017","-0.658185372","-0.327846121","0.061055544","0.388124746","0.101073875","0.123358343","-0.090536061","-0.00677125","-0.297785996","-0.049045722","-0.425053818","0.172213647","-0.116169287","0.10046231","-0.126347097"
"'1978m11'","0.875201541","1.18759925","0.880018131","1.052483478","1.102068735","1.029928779","0.949282508","0.551064087","0.562040104","1.162284743","-0.314158194","-0.06913986","-0.191464654","-0.03706991","-0.080799182","0.110277714","-0.340343442","-0.179373475","-0.16779255","-0.033437844","-0.271288012","0.075150524","0.141996682","-0.48238632","0.008339","-0.658185368","-0.286746408","0.057459624","0.349308636","0.127079561","0.016008363","-0.090536122","0.050744953","-0.385041526","-0.049045723","-0.438862711","0.030896499","-0.075919779","0.100462767","-0.16745491"
"'1978m12'","0.876534457","1.188130795","0.87630788","1.0555572","1.102068742","1.008207823","0.933155473","0.554492123","0.562210674","1.16068682","-0.314147673","-0.069292677","-0.194093713","-0.036672585","-0.080799159","0.110277689","-0.340945122","-0.174524305","-0.174014444","-0.036223302","-0.267648246","0.127322198","0.057166744","-0.387127331","-0.005111194","-0.658185433","-0.312798872","0.061385914","0.409011267","0.105884038","0.012856752","-0.090536137","0.110314397","-0.431901945","-0.049045672","-0.309212711","0.081026338","-0.098957228","0.100462402","-0.153969595"
"'1979m1'","0.834765341","1.197222358","0.871751878","1.055554948","1.102068628","0.994541292","0.872853138","0.570691055","0.563447586","1.155056321","-0.314953948","-0.067399061","-0.201317492","-0.036673269","-0.080799253","0.110277666","-0.344840658","-0.125945692","-0.137888935","-0.066234379","-0.320318214","0.278103256","0.003151901","-0.387163224","-0.023319653","-0.658185447","-0.356096336","0.068995836","0.500512804","0.067223838","0.045655703","-0.090536148","0.12497222","-0.431898176","-0.049045647","-0.291698141","0.138799339","-0.153373244","0.100461911","-0.126833843"
"'1979m2'","0.86795054","1.196410681","0.868133018","1.057011254","1.10206876","1.001404605","0.92613248","0.582288785","0.563867882","1.156678145","-0.315594907","-0.067336373","-0.198613643","-0.036887988","-0.080799271","0.110277659","-0.348185582","-0.140089779","-0.140021798","-0.069369172","-0.35010053","0.29097331","0.045200251","-0.41134036","-0.038707229","-0.658185452","-0.380918999","0.066912498","0.481163317","0.058791362","0.044131222","-0.09053615","0.105284454","-0.42533118","-0.049045611","-0.289216532","0.154789695","-0.140712182","0.100462","-0.122480998"
"'1979m3'","0.801115406","1.204523614","0.871532136","1.058052148","1.102068639","1.002412232","0.845993606","0.552170431","0.562891745","1.158361065","-0.315965992","-0.065895701","-0.195823861","-0.036718368","-0.080799343","0.110277659","-0.349462451","-0.178182557","-0.162482634","-0.064372202","-0.35556659","0.254886825","0.046247649","-0.411613323","-0.03399704","-0.658185452","-0.391297431","0.066400194","0.499073091","0.057887441","-0.01854688","-0.090536104","0.168782241","-0.406089252","-0.049045672","-0.28767814","0.026324572","-0.203813188","0.100461677","-0.109855916"
"'1979m4'","0.801694554","1.203756447","0.870325873","1.057782093","1.102068638","1.002214114","0.844359766","0.566592865","0.563066768","1.158744608","-0.316038278","-0.066826377","-0.189294461","-0.036356683","-0.080799356","0.110277661","-0.348994419","-0.246269354","-0.193892665","-0.068349727","-0.360831547","0.196306768","0.152958657","-0.371175014","-0.036092225","-0.658185451","-0.385051787","0.054069965","0.434280606","0.047479835","-0.02228287","-0.090536125","0.236315832","-0.384779588","-0.049045677","-0.286755152","0.035493504","-0.21970698","0.100461501","-0.11430251"
"'1979m5'","0.804271564","1.204315306","0.873852342","1.058595554","1.102068623","1.001197468","0.854289585","0.573228656","0.562937427","1.154315171","-0.316061141","-0.066950195","-0.189297801","-0.036345826","-0.080799351","0.110277662","-0.349312331","-0.253725425","-0.192252602","-0.067732482","-0.368529174","0.151873891","0.001922962","-0.419067961","-0.030728657","-0.658185449","-0.400729652","0.048702051","0.455836406","0.156420167","-0.024416633","-0.09053613","0.216466098","-0.391018281","-0.049045677","-0.286436953","0.029424084","-0.218757672","0.100461518","-0.096455881"
