date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
'1976m1',0.831159501834489,1.19096443771525,0.877094732387384,1.03859811698758,1.10012292072905,1.20101200324051,0.963052473464291,0.753439300572233,0.565191280491932,1.15421021594431,-0.314441380461828,-0.054664279641958,-0.180043409674927,-0.032588764614258,-0.084399432329769,0.11389585168477,-0.35977591844049,-0.359735806749261,-0.260596754899655,-0.189292457357177,-0.01289555097618,0.496389301621326,0.024130059140018,-0.029715153289401,0.060062730208545,-0.659178595521405,-0.143920252382912,-0.025207485537408,0.281491482424035,0.245160035873978,0.012861032327233,0.16189775471658,-0.284802878189778,0.033482555818806,-0.06175510828788,0.154075240576698,0.125914895540852,0.013757046203114,0.089669052099825,-0.074092504819054,-0.055217433333713,-0.087317337300114,-0.133057029779264,-0.23804703035716,-0.04714461674109,0.031617748555127,-0.345457247821199,0.036780043452602,0.094662855807421,-0.366825638212068
'1976m2',0.852041867939431,1.19096443815599,0.877094735444463,1.03816311428314,1.10012292076094,1.2036097799422,0.967062102105384,0.752229336187048,0.565239059715474,1.15421021875543,-0.315330639916826,-0.054672707144079,-0.182333714699866,-0.032176922466989,-0.084405535730495,0.113895871683784,-0.36622671089037,-0.359735780398963,-0.29261716170086,-0.193141811772938,-0.131134491719909,0.491171892200236,-0.102325592000945,0.023299208080327,0.05907465448261,-0.659178577871309,-0.217968141362617,-0.0015517734243,0.208447968187773,0.230089025823948,0.012861067922925,0.163461347817735,-0.160265342399851,0.033370940014519,-0.061755105381088,0.120135726817989,0.205349544225564,0.013569828221477,0.092831456137464,-0.070080012576208,-0.035248986224984,-0.087317337157503,-0.106707783009059,-0.253927020520211,-0.047144616897338,0.036881255916963,-0.326691026435273,0.047345104788149,0.095987413280641,-0.360040445479246
'1976m3',0.846013565918069,1.19096442536285,0.877094752634655,1.03918100823536,1.10012291500286,1.19545305147484,0.994742607361946,0.748892009181846,0.565226776315669,1.15421020570208,-0.315285680728463,-0.054619331624383,-0.183137386939018,-0.032419465059227,-0.084401873033242,0.113895876779131,-0.367345609219299,-0.359735778158438,-0.291683597573653,-0.189155332506874,-0.128985155325313,0.492057582078109,-0.106747265536953,0.020823130803284,0.059086753808137,-0.659178576678493,-0.22338426287533,-0.001098861832423,0.208317784923212,0.230182260140778,0.012861071691196,0.176893481930145,-0.214792956342914,0.033266206631123,-0.061755101648125,0.13448693456108,0.18401009576069,0.013602253259268,0.093019184627873,-0.06373539567114,-0.035408358114119,-0.087317338224738,-0.084006917524142,-0.244314589670469,-0.047144617367562,0.035796478854545,-0.335717696410445,0.043691653263096,0.095860299124684,-0.367097297104368
'1976m4',0.853761166687105,1.19096441892185,0.877094748193942,1.03983483623591,1.10012290188408,1.20075405999588,1.01435025165988,0.743086265068393,0.565213630277545,1.15421022591459,-0.315281561334568,-0.054626145319867,-0.183261774851902,-0.032408065947705,-0.084402295778447,0.113895877881613,-0.367005975819717,-0.359735778750785,-0.291746785407845,-0.187365642145026,-0.129249248635688,0.490130756746524,-0.111410224859518,0.025629363421417,0.05895645967099,-0.659178576372828,-0.221121912920276,-0.002018174766649,0.208064487900559,0.238413944531338,0.012861078653976,0.159052805470725,-0.252781333951892,0.033391870857568,-0.061755119735881,0.15503876005804,0.204791909274951,0.013516027250308,0.092595410924078,-0.043140760341532,-0.048591439645485,-0.087317335599125,-0.056264502094885,-0.26817017720579,-0.047144612948081,0.025130142112665,-0.399661483360391,0.081292710387476,0.096387804481686,-0.408894362416931
'1976m5',0.858240216156123,1.19096441846207,0.877094748771924,1.04020866605783,1.10012290942819,1.19845420820649,1.01282928235628,0.746366658519183,0.565237584954285,1.15421022657804,-0.315215346421624,-0.054634294005115,-0.18379821951436,-0.032182510086146,-0.084393240197672,0.113895872418836,-0.366236770374576,-0.359735773485131,-0.287867363103334,-0.183817868845623,-0.118648441016331,0.484122523787406,-0.132419637872063,0.067139288985744,0.060893165099333,-0.659178580617307,-0.215706745739402,0.003059795239358,0.220561187642301,0.251522933034063,0.012861097485795,0.152708901398192,-0.354063077440495,0.033798406092002,-0.061755096253241,0.11806847646856,0.246106182454218,0.013784479462712,0.094842287737105,-0.02471848520921,-0.023081369632454,-0.087317336424503,-0.123770296936119,-0.196298433187124,-0.047144606523298,0.007210352568476,-0.309920847682985,0.19762271438932,0.099183702949928,-0.37566943178664
'1976m6',0.87250829940073,1.19096437149756,0.877094756965812,1.03839238987065,1.10012293518421,1.22763440430888,1.00059183743248,0.744323257761912,0.565283723908425,1.15421023633165,-0.315286204933755,-0.054477064512507,-0.184035105206314,-0.03185810245879,-0.084404539525518,0.113895861963973,-0.366009967174791,-0.359735772746963,-0.29052597253065,-0.185927243261935,-0.116764464405233,0.442940820228635,-0.12537993484045,0.044617225805241,0.061966955518393,-0.659178577820983,-0.21635178475924,0.002642048346187,0.224386055443594,0.256958192734466,0.012861094549295,0.167223772207438,-0.360590234323026,0.033845969881713,-0.061755100758839,0.102892574286411,0.248926061000855,0.013789493237534,0.094641082782778,-0.025925906957152,-0.034558630589678,-0.087317330175798,-0.137880895018215,-0.167663182181648,-0.047144609363172,-0.012081526205888,-0.292165022773977,0.203259888851883,0.098552290284464,-0.382704454507919
'1976m7',0.859533800098437,1.19096437687478,0.877094757768204,1.03885847621146,1.10012293668134,1.22869349523073,0.984516021544105,0.739948899647499,0.565237063854542,1.1542102194514,-0.315299773612239,-0.054468037293834,-0.184018195210623,-0.031832678454391,-0.084404929530356,0.113895861770608,-0.366175036994515,-0.359735771599931,-0.290383538035852,-0.187937735114776,-0.083118946608368,0.410210846282665,-0.131455042618681,0.011451241284969,0.061409706239078,-0.659178580329187,-0.19380166864766,0.011801590805729,0.249332487070821,0.310861941267966,0.012861076234395,0.184609610756605,-0.349242437629169,0.033966328280194,-0.061755097127147,0.112537103807678,0.206232842595547,0.013645452969211,0.092472033846944,-0.04994607463506,-0.043187118677598,-0.087317329107435,-0.135802988302052,-0.156456160540523,-0.04714460918032,-0.011926920526571,-0.303994171910497,0.192345533223422,0.097639538570503,-0.403133771445234
'1976m8',0.86120510159466,1.19096438310418,0.877094757979919,1.03873754499803,1.10012294271419,1.22926454887989,0.986197529642769,0.738825912733186,0.565216613402387,1.15421021746319,-0.315212193332179,-0.054352669278569,-0.183974180426253,-0.032035476534053,-0.084378581331027,0.113895863494335,-0.365774219022694,-0.35973578213593,-0.300342772813554,-0.19124837794907,-0.089044092205463,0.3829986066524,-0.132859344423733,0.024313495785528,0.059476959470828,-0.659178581299139,-0.19801815321244,0.018700838775211,0.261008700464776,0.319068784927318,0.012861071829031,0.165616100649154,-0.351896567520835,0.034023343832075,-0.061755114223477,0.108333997995709,0.198774339879249,0.013763609973253,0.093626726115139,-0.046345829167755,-0.03081557314075,-0.087317322679496,-0.131395572596352,-0.179097159855221,-0.047144600418844,-0.007960218582113,-0.271253345313046,0.099128728700197,0.094534296084516,-0.419345634490348
'1976m9',0.844315455839573,1.19096437826075,0.877094770353857,1.03864036767958,1.10012292979535,1.22646372067423,0.977547395224129,0.738689467394014,0.565292560236491,1.15421019750373,-0.31521507595645,-0.054352294022857,-0.184054026910594,-0.032036027342923,-0.084378576208784,0.113895863777274,-0.365715820940808,-0.359735782129745,-0.300245776498521,-0.190855732572634,-0.080963219900778,0.386425133928861,-0.142278578974908,0.025376049303751,0.059925332066514,-0.659178580647959,-0.196087270936956,0.018739182727607,0.256381396380427,0.327324379282944,0.012861082797933,0.171296697686483,-0.396197370544713,0.034034748281453,-0.06175510440019,0.113656608756549,0.205260491578767,0.01376511519322,0.09231710830885,-0.03601518556031,-0.036817260791055,-0.087317323292271,-0.106935299679555,-0.18052823996992,-0.047144601942167,-0.00907561033965,-0.276082949063849,0.098819054291983,0.095617675071693,-0.43469345073389
'1976m10',0.85048327604274,1.19096436824113,0.877094774381564,1.03808158565731,1.10012293408282,1.23758589485171,1.00274089446828,0.7249259978033,0.565296937376093,1.15421016273504,-0.315226561556016,-0.054341959368733,-0.18411264445758,-0.031997827315549,-0.08437915297628,0.11389586190108,-0.366044232076343,-0.359735779268554,-0.300323964790937,-0.187494991497241,-0.081621466750822,0.383541952533163,-0.142180423908193,0.024592138106364,0.05998278290816,-0.659178581059401,-0.198247848931105,0.019455565136038,0.256488794974402,0.325492658628975,0.012861081224657,0.175577378258181,-0.401830604510361,0.03405889715954,-0.061755105498213,0.105683823760259,0.197659424038811,0.013821825133081,0.092290650999533,-0.02891383545751,-0.032495021133826,-0.087317325246777,-0.09404243450786,-0.193742983833459,-0.047144601093662,-0.000156101310494,-0.24240185023541,0.039669399870422,0.095719396029057,-0.478003784006426
